"date","geography","geography code","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"2011","Wiltshire","E06000054","Total",138858,37539,43342,30062,27915
"2011","East Devon","E07000040","Total",34951,8039,10695,8825,7392
"2011","Exeter","E07000041","Total",36866,8271,12829,7092,8674
"2011","Mid Devon","E07000042","Total",22495,4741,6123,6405,5226
"2011","North Devon","E07000043","Total",26663,4723,7428,7421,7091
"2011","South Hams","E07000044","Total",23808,6511,7177,5725,4395
"2011","Teignbridge","E07000045","Total",35515,8092,10901,8653,7869
"2011","Torridge","E07000046","Total",18362,2788,4598,6026,4950
"2011","West Devon","E07000047","Total",14895,3618,4129,3904,3244
"2011","Christchurch","E07000048","Total",12117,2888,3831,2855,2543
"2011","East Dorset","E07000049","Total",22250,6397,7117,5079,3657
"2011","North Dorset","E07000050","Total",19078,4381,5557,5154,3986
"2011","Purbeck","E07000051","Total",12323,2641,3766,3310,2606
"2011","West Dorset","E07000052","Total",27338,6768,8050,6818,5702
"2011","Weymouth and Portland","E07000053","Total",19606,3459,5913,5005,5229
"2011","Cheltenham","E07000078","Total",38061,11108,13079,6140,7734
"2011","Cotswold","E07000079","Total",24044,7308,7158,5350,4228
"2011","Forest of Dean","E07000080","Total",23231,4712,6321,6441,5757
"2011","Gloucester","E07000081","Total",38489,6750,12307,9082,10350
"2011","Stroud","E07000082","Total",33412,9693,9329,7860,6530
"2011","Tewkesbury","E07000083","Total",24307,6511,8024,5190,4582
"2011","Mendip","E07000187","Total",32366,7514,8871,8256,7725
"2011","Sedgemoor","E07000188","Total",33470,6256,8933,8787,9494
"2011","South Somerset","E07000189","Total",46809,9829,12905,12825,11250
"2011","Taunton Deane","E07000190","Total",32616,7217,10158,7470,7771
"2011","West Somerset","E07000191","Total",9080,1603,2491,2560,2426
"2011","Anglesey","W06000001","Total",20229,3509,5619,5220,5881
"2011","Gwynedd","W06000002","Total",35330,6268,10271,9184,9607
"2011","Conwy","W06000003","Total",32873,6014,9608,7995,9256
"2011","Denbighshire","W06000004","Total",27412,4875,7611,6919,8007
"2011","Flintshire","W06000005","Total",45780,8381,12616,11638,13145
"2011","Wrexham","W06000006","Total",41786,6876,11206,9973,13731
"2011","Powys","W06000023","Total",38367,7048,9934,11944,9441
"2011","Ceredigion","W06000008","Total",21086,4128,6745,5506,4707
"2011","Pembrokeshire","W06000009","Total",35622,5688,9445,10142,10347
"2011","Carmarthenshire","W06000010","Total",53645,8876,14865,13997,15907
"2011","Swansea","W06000011","Total",74725,13671,24991,14449,21614
"2011","Neath Port Talbot","W06000012","Total",42719,5692,11441,10604,14982
"2011","Bridgend","W06000013","Total",41938,6911,11839,9940,13248
"2011","The Vale of Glamorgan","W06000014","Total",38297,8987,12713,8030,8567
"2011","Cardiff","W06000015","Total",111943,27977,39055,16939,27972
"2011","Rhondda, Cynon, Taff","W06000016","Total",72529,10068,20428,17216,24817
"2011","Merthyr Tydfil","W06000024","Total",17717,2005,4716,4088,6908
"2011","Caerphilly","W06000018","Total",54473,7770,15190,13013,18500
"2011","Blaenau Gwent","W06000019","Total",21761,2018,4935,5427,9381
"2011","Torfaen","W06000020","Total",27514,4032,7595,6704,9183
"2011","Monmouthshire","W06000021","Total",25838,7377,7288,5558,5615
"2011","Newport","W06000022","Total",45143,7978,13534,9259,14372

