"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","Horsham","E07000227","Total",131301,126062,121020,904,234,3904,1774,364,260,725,425,2585,734,165,209,472,1005,651,440,155,56,229,75,154
"2011","Mid Sussex","E07000228","Total",139860,133018,126341,1235,142,5300,1967,378,277,805,507,3761,1410,154,399,525,1273,788,487,201,100,326,87,239
"2011","Worthing","E07000229","Total",104640,98136,93594,815,99,3628,1836,437,337,658,404,3372,783,171,544,474,1400,869,605,169,95,427,151,276
"2011","Bath and North East Somerset","E06000022","Total",176016,166473,158640,1146,58,6629,2898,951,292,954,701,4577,1116,170,219,1912,1160,1326,499,672,155,742,375,367
"2011","Bournemouth","E06000028","Total",183491,168797,153752,1355,218,13472,4191,1043,601,1396,1151,7066,1940,213,408,1840,2665,1764,1208,380,176,1673,693,980
"2011","Bristol, City of","E06000023","Total",428234,359592,333432,3851,359,21950,15438,7389,1533,3402,3114,23655,6547,6863,2104,3886,4255,25734,12085,6727,6922,3815,1272,2543
"2011","Cornwall","E06000052","Total",532273,522848,509628,2046,635,10539,4400,1248,490,1553,1109,3434,837,107,280,1004,1206,762,292,368,102,829,189,640
"2011","Isles of Scilly","E06000053","Total",2203,2177,2087,10,0,80,18,3,3,9,3,2,0,0,0,0,2,2,1,1,0,4,0,4
"2011","North Somerset","E06000024","Total",202566,197076,190553,1113,176,5234,2033,681,256,698,398,2436,817,111,299,619,590,632,383,188,61,389,127,262
"2011","Plymouth","E06000026","Total",256384,246509,238263,1105,153,6988,3287,904,523,1028,832,3906,875,202,359,1251,1219,1678,1106,343,229,1004,399,605
"2011","Poole","E06000029","Total",147645,141523,135698,756,214,4855,1916,491,246,680,499,3276,1098,96,382,698,1002,520,329,119,72,410,127,283
"2011","South Gloucestershire","E06000025","Total",262767,249574,241611,1223,271,6469,3667,1516,396,1016,739,6440,2699,698,238,1312,1493,2218,987,980,251,868,366,502
"2011","Swindon","E06000030","Total",209156,187898,177028,1852,180,8838,4226,1506,568,1163,989,13365,6901,1292,936,954,3282,2861,1718,807,336,806,188,618
"2011","Torbay","E06000027","Total",130959,127699,124162,657,37,2843,1420,440,195,443,342,1353,403,79,99,261,511,251,140,73,38,236,100,136
"2011","Wiltshire","E06000054","Total",470981,454971,439725,2381,757,12108,5568,1968,656,1667,1277,6178,1547,215,595,1210,2611,3228,1418,1151,659,1036,288,748
"2011","East Devon","E07000040","Total",132457,130347,127442,593,90,2222,904,238,89,358,219,930,220,6,71,210,423,146,68,61,17,130,35,95
"2011","Exeter","E07000041","Total",117773,109590,104013,629,93,4855,1938,403,278,773,484,4595,946,164,227,1998,1260,667,492,128,47,983,659,324
"2011","Mid Devon","E07000042","Total",77750,76696,74554,278,88,1776,484,132,69,169,114,428,116,7,18,167,120,94,64,17,13,48,4,44
"2011","North Devon","E07000043","Total",93667,91742,89832,316,45,1549,785,294,75,287,129,835,215,67,78,152,323,158,63,70,25,147,61,86
"2011","South Hams","E07000044","Total",83140,81784,79681,371,45,1687,653,161,75,264,153,458,115,12,64,102,165,121,73,36,12,124,70,54
"2011","Teignbridge","E07000045","Total",124220,122163,119480,499,118,2066,925,255,92,323,255,893,165,17,78,347,286,117,48,52,17,122,26,96
"2011","Torridge","E07000046","Total",63839,63021,61985,211,54,771,429,141,53,125,110,271,39,3,17,126,86,51,11,34,6,67,31,36
"2011","West Devon","E07000047","Total",53553,52730,51603,233,21,873,402,126,56,130,90,300,57,4,17,93,129,59,26,23,10,62,27,35
"2011","Christchurch","E07000048","Total",47752,46591,45414,299,48,830,505,110,69,195,131,495,97,5,44,179,170,83,50,27,6,78,15,63
"2011","East Dorset","E07000049","Total",87166,85645,83876,371,171,1227,594,163,67,229,135,737,157,43,198,167,172,106,61,29,16,84,26,58
"2011","North Dorset","E07000050","Total",68583,66977,64936,279,95,1667,552,136,78,216,122,796,111,11,76,128,470,197,108,65,24,61,14,47
"2011","Purbeck","E07000051","Total",44973,44340,43253,228,89,770,326,96,47,112,71,231,33,12,27,54,105,48,35,6,7,28,6,22
"2011","West Dorset","E07000052","Total",99264,97284,95011,500,104,1669,770,200,100,275,195,934,242,59,87,242,304,169,111,43,15,107,40,67
"2011","Weymouth and Portland","E07000053","Total",65167,63480,61860,298,48,1274,653,247,70,185,151,640,97,21,93,173,256,321,153,125,43,73,15,58
