ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E07000006,South Bucks,District,66867,14127.52,2,,,,,20759,2668,1033,3049,1922,163,9.44,24769
E07000007,Wycombe,NA,171644,32457.21,,,,,,49886,8519,3740,9423,5286,981,12.03,21506
E07000008,Cambridge,District,123867,4069.94,16,108,,124,124,46142,19113,6305,12667,9468,1703,12.75,20692
E07000009,East Cambridgeshire,NA,83818,65128.21,,,,,,23253,2709,1528,2948,1761,197,8.75,25658
E07000010,Fenland,District,95262,54644.96,,,,,,33705,4017,2138,5061,2732,403,9.29,24973
E07000011,Huntingdonshire,District,169508,90618.31,32,252,,284,284,47717,6459,3187,6589,4127,533,5.61,29426
E07000012,South Cambridgeshire,District,148755,90162.77,,,,,,39652,5270,2334,5286,3439,368,8.59,25853
E07000026,Allerdale,District,96422,124158.29,,,25,,25,33700,3502,1643,4517,2302,319,5.71,29323
E07000027,Barrow-in-Furness,District,69087,7796.05,0,38,,38,38,25452,3105,1616,3650,1956,333,37.6,5318
E07000028,Carlisle,District,107524,103929.92,2,41,,43,43,34844,4529,2185,4501,2434,336,20.46,13652
E07000029,Copeland,NA,70603,73173.94,,,,,,25540,2984,1683,3764,2013,412,17.15,16326
E07000030,Eden,District,52564,214235.65,1,8,,9,9,16191,1517,527,1746,849,72,16.95,16516
E07000031,South Lakeland,District,103658,153362,0,123,,123,123,35587,2961,1063,3253,1924,103,5.56,29479
E07000032,Amber Valley,District,122309,26538.48,5,139,,144,144,41216,4953,2389,5490,3273,398,33.39,6773
E07000033,Bolsover,NA,75866,16033.04,,,,,,27516,3538,1787,4471,2421,384,9.11,25209
E07000034,Chesterfield,NA,103788,6603.52,,,,,,37500,4860,2442,6042,3339,453,20.35,13735
E07000035,Derbyshire Dales,District,71116,79245.21,0,44,,44,44,23945,2310,890,2653,1572,127,18.51,15166
E07000036,Erewash,District,112081,10962.93,,,1576,,1576,36836,5113,2262,5163,3326,339,4.31,30737
E07000037,High Peak,District,90892,53914.69,,,,,,28554,4229,1592,3931,2690,234,22.79,12029
E07000038,North East Derbyshire,NA,99023,27560.03,,,,,,35567,4010,1741,4793,2785,291,9.83,24245
E07000039,South Derbyshire,NA,94611,33812.06,,,,,,27807,3877,1800,4103,2636,283,9.94,24106
E07000040,East Devon,NA,132457,81434.66,,,,,,51448,3953,1505,4753,2399,211,20.44,13671
E07000041,Exeter,District,117773,4702.77,,,,,,41639,13165,2991,7757,5462,613,10.56,23281
E07000042,Mid Devon,NA,77750,91293.48,,,,,,24334,2788,1217,3112,1763,209,23.39,11657
E07000043,North Devon,District,93667,108605.1,34,307,,341,341,32154,3400,1547,3591,1969,178,19.99,14007
E07000044,South Hams,NA,83140,88649.78,,,,,,29389,2667,1078,3131,1663,146,15.51,17771
E07000045,Teignbridge,NA,124220,67387,,,,,,44285,4272,2022,5054,2647,290,13.07,20317
E07000046,Torridge,District,63839,98385.32,60,133,,193,193,23590,2346,1091,2819,1495,147,22.83,12004
E07000047,West Devon,District,53553,115963.56,1,9,,10,10,19125,1876,915,2279,1163,134,11.83,21735
E07000048,Christchurch,NA,47752,5038.96,,,,,,19759,1527,684,1630,928,68,10.27,23675
E07000049,East Dorset,NA,87166,35436.57,,,,,,33106,2366,986,2959,1553,147,6.59,28321
E07000050,North Dorset,District,68583,60921.76,15,147,,162,162,22465,2677,1087,2943,1830,143,13.52,19775
E07000051,Purbeck,District,44973,40441.57,10,73,,83,83,16016,1415,652,1412,773,70,14.59,18629
E07000052,West Dorset,District,99264,108147.42,,,,,,37299,3289,1180,3800,2128,186,12.78,20645
E07000053,Weymouth and Portland,District,65167,4175.88,,,,,,24136,3055,1551,3007,1628,239,22.37,12307
E07000061,Eastbourne,District,99412,4415.89,71.86352771,,,,,37898,5194,2268,5134,2854,401,44.88,3249
E07000062,Hastings,District,90254,2972.4,32.55971945,80,,112.5597194,112.5597194,32564,4919,2694,5717,3078,605,18.69,15021
E07000063,Lewes,District,97502,29207.1,65.17448274,22,,87.17448274,87.17448274,34518,3758,1843,4042,2459,255,13.08,20303
E07000064,Rother,District,90588,50943.05,32.68021212,30,,62.68021212,62.68021212,38294,3543,1453,4672,2448,300,23.09,11841
E07000065,Wealden,District,148915,83316.94,53.72205798,231,,284.722058,284.722058,50688,5173,2059,6019,3552,311,14.4,18800
E07000066,Basildon,District,174497,11002.46,,,,,,55708,7635,4782,8414,4822,791,3.85,31162
E07000067,Braintree,District,147084,61170.84,25,95,,120,120,43526,5416,2962,5891,3447,354,8.43,26062
E07000068,Brentwood,NA,73601,15311.75,,,,,,23494,3044,1218,3387,2263,173,5.3,29731
E07000069,Castle Point,District,88011,4506.86,6,46,,52,52,31431,3274,1554,3902,2178,215,11.86,21698
E07000070,Chelmsford,NA,168310,33877.56,,,,,,50078,6920,3168,6543,4380,459,9.18,25113
E07000071,Colchester,District,173074,32908.17,,,248,,248,55352,11254,4501,10087,6564,1022,19.25,14560
E07000072,Epping Forest,NA,124659,33898.56,,,,,,39452,5553,2518,6349,3842,373,15.94,17379
E07000073,Harlow,District,81944,3053.75,3,63,,66,66,24499,3646,2315,3870,2295,358,23.4,11652
E07000074,Maldon,NA,61629,35876.76,,,,,,20261,2090,958,2365,1422,113,7.26,27480
E07000075,Rochford,NA,83287,16949.84,,,,,,27393,2848,1266,2936,1889,146,9.03,25312
E07000076,Tendring,District,138048,33764.12,48,451,,499,499,60089,5918,2916,7712,3863,571,11.37,22256
E07000077,Uttlesford,NA,79443,64118.28,,,,,,22255,2960,1144,3164,2124,119,7.14,27637
E07000078,Cheltenham,District,115732,4661.37,32.58214395,,,,,36479,6954,2593,5402,3482,438,8.27,26261
E07000079,Cotswold,District,82881,116451.96,23.33356956,38,,61.33356956,61.33356956,27090,3309,1031,3249,1921,131,13.12,20259
E07000080,Forest of Dean,District,81961,52650.63,40.07456105,331,,371.0745611,371.0745611,28575,3895,1366,4346,2557,246,12.36,21106
E07000081,Gloucester,District,121688,4053.68,34.25894249,,288,,288,35879,5901,3241,6361,3461,686,7.52,27173
E07000082,Stroud,District,112779,46065.47,31.75078295,16,,47.75078295,47.75078295,34506,4156,1563,4346,2845,237,4.95,30104
E07000083,Tewkesbury,NA,81943,41441.83,,,,,,25509,2666,1254,2793,1649,170,6.25,28718
E07000084,Basingstoke and Deane,District,167799,63380.74,19.18459964,0.299759369,,19.48435901,19.48435901,43391,5590,3086,5470,3422,419,4.29,30764
E07000085,East Hampshire,NA,115608,51444.15,,,,,,35042,4450,1615,4928,3104,266,4.22,30837
E07000086,Eastleigh,District,125199,7977.76,14.3141061,0.223657908,,14.53776401,14.53776401,35434,4430,2038,4469,2770,298,4.84,30204
E07000087,Fareham,District,111581,7423.27,29.7571488,221.1993305,,250.9564793,250.9564793,35379,3982,1500,4203,2586,205,3.82,31190
E07000088,Gosport,NA,82622,2532.09,,,,,,26189,3728,2106,3746,2365,304,5.24,29802
E07000089,Hart,District,91033,21526.53,17.40787882,60.16262311,,77.57050193,77.57050193,24368,2883,1207,2915,1969,141,4.12,30934
E07000090,Havant,District,120684,5536.97,13.79790239,0.215592225,,14.01349461,14.01349461,42932,5116,2665,5788,3313,444,35.54,6025
E07000091,New Forest,District,176462,75313.48,20.17504765,0.31523512,73,20.49028277,73,63765,5384,2419,6639,3382,333,5.97,29012
E07000092,Rushmoor,District,93807,3904.46,10.72503256,0.167578634,,10.89261119,10.89261119,23583,4231,2205,4527,2566,362,25.61,10342
E07000093,Test Valley,District,116398,62757.99,14.30788043,12.20793563,,26.51581606,26.51581606,34372,4202,1708,4416,2753,210,12.6,20851
