ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E07000175,Newark and Sherwood,NA,114817,65131.85,NA,NA,,,,,,
E07000176,Rushcliffe,District,111129,40923.64,558122,0.19911238,,,222,,,
E07000177,Cherwell,NA,141868,58876.86,NA,NA,,,,,,
E07000178,Oxford,District,151906,4559.58,151906,1,51,,,,,
E07000179,South Oxfordshire,NA,134257,67853.37,NA,NA,,,,,,
E07000180,Vale of White Horse,NA,120988,57761.77,NA,NA,,,,,,
E07000181,West Oxfordshire,NA,104779,71439.93,NA,NA,,,,,,
E07000187,Mendip,District,109279,73943.51,219466,0.497931342,39.33657605,,0.995862685,,,
E07000188,Sedgemoor,NA,114588,56436.28,NA,NA,,,,,,
E07000189,South Somerset,NA,161243,95904.23,NA,NA,,,,,,
E07000190,Taunton Deane,District,110187,46236.29,219466,0.502068658,39.66342395,,1.004137315,,,
E07000191,West Somerset,NA,34675,72534.51,NA,NA,,,,,,
E07000192,Cannock Chase,District,97462,7888.09,616487,0.158092547,,95,,,,
E07000193,East Staffordshire,District,113583,38696.29,616487,0.184242328,35,,284,,,
E07000194,Lichfield,District,100654,33129.71,616487,0.163270272,1,,13,,,
E07000195,Newcastle-under-Lyme,NA,123871,21095.75,NA,NA,,,,,,
E07000196,South Staffordshire,NA,108131,40731.52,NA,NA,,,,,,
E07000197,Stafford,District,130869,59817.26,616487,0.212281849,1,,7,,,
E07000198,Staffordshire Moorlands,District,97106,57584.71,616487,0.157515081,1,,23,,,
E07000199,Tamworth,District,76813,3084.62,616487,0.124597923,23,,48,,,
E07000200,Babergh,District,87740,59377.66,424023,0.206922738,,,,,,
E07000201,Forest Heath,NA,59748,37771.06,NA,NA,,,,,,
E07000202,Ipswich,NA,133384,3941.46,NA,NA,,,,,,
E07000203,Mid Suffolk,District,96731,87107.11,424023,0.228126776,,,,,,
E07000204,St Edmundsbury,NA,111008,65696.41,NA,NA,,,,,,
E07000205,Suffolk Coastal,District,124298,89156.43,424023,0.293139759,1,,7,,,
E07000206,Waveney,District,115254,36968.26,424023,0.271810727,0,,18,,,
E07000212,Runnymede,District,80510,7804.32,898957,0.089559345,1,,,,,
E07000207,Elmbridge,District,130875,9506.07,898957,0.145585384,0,,0,,,
E07000208,Epsom and Ewell,District,75102,3407.29,898957,0.083543484,,,29,,,
E07000209,Guildford,District,137183,27093.26,898957,0.152602405,1,,6,,,
E07000210,Mole Valley,District,85375,25832.26,898957,0.094971172,0,,6,,,
E07000224,Arun,District,149518,22070.82,509769,0.293305399,,,,,,
E07000225,Chichester,District,113794,78623.08,509769,0.223226599,0,,3,,,
E07000211,Reigate and Banstead,NA,137835,12913.41,NA,NA,,,,,,
E07000213,Spelthorne,NA,95598,4488.44,NA,NA,,,,,,
E07000214,Surrey Heath,District,86144,9509.28,898957,0.095826608,,,,,,
E07000215,Tandridge,District,82998,24818.98,898957,0.092326997,,,,,,
E07000216,Waverley,District,121572,34516.93,898957,0.135236724,0,,174,,,
E07000217,Woking,District,99198,6359.57,898957,0.110347881,,,,,,
E07000218,North Warwickshire,District,62014,28426.69,199662,0.310594905,,16,,,,
E07000219,Nuneaton and Bedworth,NA,125252,7895.14,NA,NA,,,,,,
E07000220,Rugby,NA,100075,35111.41,NA,NA,,,,,,
E07000221,Stratford-on-Avon,NA,120485,97786.63,NA,NA,,,,,,
E07000222,Warwick,District,137648,28288.3,199662,0.689405095,,38,,,,
E07000223,Adur,NA,61182,4180.71,NA,NA,,,,,,
E07000236,Redditch,District,84214,5424.98,491538,0.171327547,21.67823851,,43,,,
E07000237,Worcester,District,98768,3327.91,491538,0.200936652,14.86931224,34,121,,,
E07000238,Wychavon,District,116944,66354.12,491538,0.237914464,80.60567037,,,,,
E07000239,Wyre Forest,District,97975,19540.66,491538,0.199323348,14.74992778,,,,,
E07000100,St Albans,District,140664,16117.63,590243,0.238315406,,,,,,
E09000031,Waltham Forest,NA,258249,3881.4,NA,NA,,,,,,
E07000104,Welwyn Hatfield,NA,110535,12955.42,NA,NA,,,,,,
E07000097,East Hertfordshire,NA,137687,47568.68,NA,NA,,,,,,
E08000002,Bury,Unitary,185060,9948.44,NA,NA,,,,,,
E09000032,Wandsworth,Unitary,306995,3426.29,NA,NA,,,,,,
E08000003,Manchester,NA,503127,11564.49,NA,NA,,,,,,
E08000004,Oldham,Unitary,224897,14236.49,NA,NA,,,,,,
E09000033,Westminster,Unitary,219396,2147.78,NA,NA,,,,,,
E08000005,Rochdale,NA,211699,15808.07,NA,NA,,,,,,
S12000024,Perth and Kinross,NA,146652,528558,NA,NA,,,,,,
S12000026,Scottish Borders,NA,113870,473174,NA,NA,,,,,,
S12000027,Shetland Islands,NA,23167,146665,NA,NA,,,,,,
S12000028,South Ayrshire,NA,112799,122198,NA,NA,,,,,,
S12000029,South Lanarkshire,NA,313830,177189,NA,NA,,,,,,
S12000030,Stirling,NA,90247,218697,NA,NA,,,,,,
S12000033,Aberdeen City,NA,222793,18571,NA,NA,,,,,,
S12000034,Aberdeenshire,NA,252973,631261,NA,NA,,,,,,
S12000035,Argyll and Bute,NA,88166,690947,NA,NA,,,,,,
